,operating_unit_name,ecom_reference_order_number,ordered_item,ordered_quantity,unit_selling_price,unit_list_price,ordered_date,tax_code,product_id,product_name,product_category
92,Cosmaline Local,395813,119901,1,0.2525,0.2525,2024-01-10,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
93,Cosmaline Local,395910,119901,3,0.236,0.2525,2024-01-10,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
94,Cosmaline Local,395342,119901,2,0.237,0.2525,2024-01-11,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
95,Cosmaline Local,395342,119901,3,0.237,0.2525,2024-01-11,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
96,Cosmaline Local,395855,119901,1,0.2325,0.2525,2024-01-11,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
97,Cosmaline Local,395855,119901,1,0.2325,0.2525,2024-01-11,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
98,Cosmaline Local,396093,119901,2,0.248,0.2525,2024-01-11,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
99,Cosmaline Local,396093,119901,3,0.211,0.2525,2024-01-11,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
100,Cosmaline Local,396093,119901,3,0.248,0.2525,2024-01-11,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
101,Cosmaline Local,396093,119901,1,0.248,0.2525,2024-01-11,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
102,Cosmaline Local,395932,119901,1,0.239,0.2525,2024-01-12,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
103,Cosmaline Local,395932,119901,1,0.239,0.2525,2024-01-12,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
104,Cosmaline Local,395932,119901,2,0.239,0.2525,2024-01-12,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
105,Cosmaline Local,395932,119901,3,0.239,0.2525,2024-01-12,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
106,Cosmaline Local,395933,119901,1,0.2405,0.2525,2024-01-13,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
107,Cosmaline Local,395553,119901,1,0.2525,0.2525,2024-01-05,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
108,Cosmaline Local,393925,119901,10,0.2145,0.2525,2024-01-06,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
109,Cosmaline Local,393925,119901,2,0.2525,0.2525,2024-01-06,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
110,Cosmaline Local,393925,119901,8,0.2525,0.2525,2024-01-06,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
111,Cosmaline Local,395657,119901,3,0.2525,0.2525,2024-01-06,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
112,Cosmaline Local,395657,119901,2,0.2145,0.2525,2024-01-06,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
113,Cosmaline Local,395657,119901,1,0.2525,0.2525,2024-01-06,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
114,Cosmaline Local,395657,119901,3,0.2525,0.2525,2024-01-06,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
115,Cosmaline Local,395657,119901,1,0.2525,0.2525,2024-01-06,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
116,Cosmaline Local,395590,119901,2,0.2375,0.2525,2024-01-07,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
117,Cosmaline Local,395590,119901,3,0.2375,0.2525,2024-01-07,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
118,Cosmaline Local,395590,119901,2,0.2375,0.2525,2024-01-07,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
119,Cosmaline Local,395590,119901,4,0.2375,0.2525,2024-01-07,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
120,Cosmaline Local,395160,119901,1,0.2525,0.2525,2024-01-08,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
121,Cosmaline Local,395310,119901,1,0.2525,0.2525,2024-01-08,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
122,Cosmaline Local,395310,119901,1,0.2525,0.2525,2024-01-08,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
123,Cosmaline Local,395735,119901,1,0.2525,0.2525,2024-01-09,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
124,Cosmaline Local,395735,119901,1,0.2525,0.2525,2024-01-09,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
125,Cosmaline Local,395735,119901,1,0.2525,0.2525,2024-01-09,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
126,Cosmaline Local,395735,119901,1,0.2525,0.2525,2024-01-09,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
127,Cosmaline Local,395735,119901,1,0.2525,0.2525,2024-01-09,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
128,Cosmaline Local,395735,119901,1,0.2525,0.2525,2024-01-09,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
129,Cosmaline Local,395735,119901,1,0.2525,0.2525,2024-01-09,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
130,Cosmaline Local,395388,119901,2,0.2525,0.2525,2024-01-04,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
131,Cosmaline Local,395388,119901,1,0.2145,0.2525,2024-01-04,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
132,Cosmaline Local,395253,119901,4,0.2255,0.2525,2024-01-04,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
133,Cosmaline Local,394989,119901,5,0.2285,0.2525,2024-01-04,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
134,Cosmaline Local,394989,119901,5,0.2285,0.2525,2024-01-04,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
135,Cosmaline Local,395186,119901,1,0.2525,0.2525,2024-01-04,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
136,Cosmaline Local,395186,119901,2,0.2525,0.2525,2024-01-04,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
137,Cosmaline Local,396410,119901,4,0.2525,0.2525,2024-01-16,REVENUE VAT 11%,119901,cosmal cure professional developer cream 6 20vol,['Permanent']
