ShprNo,HAWB,Delivery_Date,CODAmount,CODCurrency,O_CODAmount,Aramex_Inv_date,TOKENNO
11150,8596268374,2024-02-27,0.0,USD,14.5,2024-02-29,290224RC
11150,8596268375,2024-02-27,0.0,USD,14.51,2024-02-29,290224RC
11150,8596268376,2024-02-27,0.0,USD,1.68,2024-02-29,290224RC
11150,8596268378,2024-02-28,0.0,USD,16.77,2024-02-29,290224RC
11150,8596268379,2024-02-27,0.0,USD,5.42,2024-02-29,290224RC
11150,8596268381,2024-02-27,0.0,USD,3.125,2024-02-29,290224RC
11150,8596268382,2024-02-29,0.0,USD,11.5,2024-02-29,290224RC
11150,8596268383,2024-02-28,0.0,USD,15.075,2024-02-29,290224RC
11150,8596268384,2024-02-27,0.0,USD,8.18,2024-02-29,290224RC
11150,8596268385,2024-02-29,0.0,USD,19.325,2024-02-29,290224RC
11150,8596268387,2024-02-27,0.0,USD,6.875,2024-02-29,290224RC
11150,8596268390,2024-02-27,0.0,USD,8.575,2024-02-29,290224RC
11150,8596268391,2024-02-27,0.0,USD,13.175,2024-02-29,290224RC
11150,8596268392,2024-02-27,0.0,USD,6.625,2024-02-29,290224RC
11150,8596268393,2024-02-27,0.0,USD,13.655,2024-02-29,290224RC
11150,8596268394,2024-02-28,0.0,USD,15.445,2024-02-29,290224RC
11150,8596268396,2024-02-27,0.0,USD,7.65,2024-02-29,290224RC
11150,8596268398,2024-02-27,0.0,USD,6.1,2024-02-29,290224RC
11150,8596268400,2024-02-28,0.0,USD,13.15,2024-02-29,290224RC
11150,8596268401,2024-02-27,0.0,USD,11.495,2024-02-29,290224RC
11150,8596268402,2024-02-27,0.0,USD,12.835,2024-02-29,290224RC
11150,8596268403,2024-02-27,0.0,USD,22.715,2024-02-29,290224RC
11150,8596268404,2024-02-27,0.0,USD,10.235,2024-02-29,290224RC
11150,8596268406,2024-02-27,0.0,USD,4.5,2024-02-29,290224RC
11150,8596268407,2024-02-27,0.0,USD,14.765,2024-02-29,290224RC
11150,8596268408,2024-02-27,0.0,USD,2.06,2024-02-29,290224RC
11150,8596268410,2024-02-27,0.0,USD,4.975,2024-02-29,290224RC
11150,8596268411,2024-02-27,0.0,USD,13.11,2024-02-29,290224RC
11150,8596268412,2024-02-27,0.0,USD,6.45,2024-02-29,290224RC
11150,8596268413,2024-02-27,0.0,USD,7.8,2024-02-29,290224RC
11150,8596268414,2024-02-27,0.0,USD,8.23,2024-02-29,290224RC
11150,8596268415,2024-02-28,0.0,USD,5.475,2024-02-29,290224RC
11150,8596268416,2024-02-29,0.0,USD,17.935,2024-02-29,290224RC
11150,8596268417,2024-02-27,0.0,USD,4.06,2024-02-29,290224RC
11150,8596268418,2024-02-29,0.0,USD,10.19,2024-02-29,290224RC
11150,8596268419,2024-02-29,0.0,USD,13.13,2024-02-29,290224RC
11150,8596268420,2024-02-27,0.0,USD,14.19,2024-02-29,290224RC
11150,8596268421,2024-02-27,0.0,USD,13.495,2024-02-29,290224RC
11150,8596268422,2024-02-27,0.0,USD,2.2,2024-02-29,290224RC
11150,8596268423,2024-02-27,0.0,USD,28.0,2024-02-29,290224RC
11150,8596268425,2024-02-29,0.0,USD,8.18,2024-02-29,290224RC
11150,8596268426,2024-02-27,0.0,USD,18.475,2024-02-29,290224RC
11150,8596268427,2024-02-27,0.0,USD,9.42,2024-02-29,290224RC
11150,8596268428,2024-02-27,0.0,USD,12.625,2024-02-29,290224RC
11150,8596268429,2024-02-27,0.0,USD,6.94,2024-02-29,290224RC
11150,8596268430,2024-02-27,0.0,USD,24.4,2024-02-29,290224RC
11150,8596268431,2024-02-27,0.0,USD,12.75,2024-02-29,290224RC
11150,8596268432,2024-02-27,0.0,USD,8.435,2024-02-29,290224RC
11150,8596268433,2024-02-27,0.0,USD,16.77,2024-02-29,290224RC
11150,8596268434,2024-02-27,0.0,USD,5.8,2024-02-29,290224RC
11150,8596268435,2024-02-27,0.0,USD,8.525,2024-02-29,290224RC
11150,8596268437,2024-02-27,0.0,USD,13.465,2024-02-29,290224RC
11150,8596268438,2024-02-27,0.0,USD,14.755,2024-02-29,290224RC
11150,8596268439,2024-02-28,0.0,USD,12.545,2024-02-29,290224RC
11150,8596268440,2024-02-28,0.0,USD,6.025,2024-02-29,290224RC
11150,8596268441,2024-02-28,0.0,USD,3.15,2024-02-29,290224RC
11150,8596268442,2024-02-28,0.0,USD,8.585,2024-02-29,290224RC
11150,8596268443,2024-02-28,0.0,USD,5.8,2024-02-29,290224RC
11150,8596268444,2024-02-28,0.0,USD,4.88,2024-02-29,290224RC
11150,8596268445,2024-02-27,0.0,USD,2.075,2024-02-29,290224RC
11150,8596268446,2024-02-27,0.0,USD,4.375,2024-02-29,290224RC
11150,8596268447,2024-02-27,0.0,USD,5.09,2024-02-29,290224RC
11150,8596268448,2024-02-27,0.0,USD,12.855,2024-02-29,290224RC
11150,8596268449,2024-02-27,0.0,USD,5.325,2024-02-29,290224RC
11150,8596268450,2024-02-27,0.0,USD,14.04,2024-02-29,290224RC
11150,8596268451,2024-02-27,0.0,USD,4.185,2024-02-29,290224RC
11150,8596268452,2024-02-28,0.0,USD,23.675,2024-02-29,290224RC
11150,8596268453,2024-02-27,0.0,USD,13.35,2024-02-29,290224RC
11150,8596268454,2024-02-28,0.0,USD,23.325,2024-02-29,290224RC
11150,8596268456,2024-02-27,0.0,USD,13.45,2024-02-29,290224RC
11150,8596268457,2024-02-29,0.0,USD,8.0,2024-02-29,290224RC
11150,8596268458,2024-02-28,0.0,USD,9.2,2024-02-29,290224RC
11150,8596268459,2024-02-27,0.0,USD,12.605,2024-02-29,290224RC
11150,8596268460,2024-02-27,0.0,USD,5.575,2024-02-29,290224RC
11150,8596268461,2024-02-27,0.0,USD,25.59,2024-02-29,290224RC
11150,8596268462,2024-02-27,0.0,USD,21.0,2024-02-29,290224RC
11150,8596268463,2024-02-27,0.0,USD,8.585,2024-02-29,290224RC
11150,8596268464,2024-02-27,0.0,USD,11.525,2024-02-29,290224RC
11150,8596268465,2024-02-27,0.0,USD,18.225,2024-02-29,290224RC
11150,8596268466,2024-02-28,0.0,USD,2.905,2024-02-29,290224RC
11150,8596268467,2024-02-27,0.0,USD,7.1,2024-02-29,290224RC
11150,8596268468,2024-02-27,0.0,USD,21.455,2024-02-29,290224RC
11150,8596268469,2024-02-27,0.0,USD,16.875,2024-02-29,290224RC
11150,8596268471,2024-02-27,0.0,USD,4.225,2024-02-29,290224RC
11150,8596268472,2024-02-28,0.0,USD,13.95,2024-02-29,290224RC
11150,8596268473,2024-02-27,0.0,USD,6.425,2024-02-29,290224RC
11150,8596268474,2024-02-28,0.0,USD,14.875,2024-02-29,290224RC
11150,8596268475,2024-02-29,0.0,USD,6.27,2024-02-29,290224RC
11150,8596268476,2024-02-27,0.0,USD,6.8,2024-02-29,290224RC
11150,8596268477,2024-02-28,0.0,USD,12.77,2024-02-29,290224RC
11150,8596268478,2024-02-29,0.0,USD,12.735,2024-02-29,290224RC
11150,8596268479,2024-02-28,0.0,USD,7.0,2024-02-29,290224RC
11150,8596268480,2024-02-28,0.0,USD,17.735,2024-02-29,290224RC
11150,8596268481,2024-02-29,0.0,USD,5.21,2024-02-29,290224RC
11150,8596268482,2024-02-29,0.0,USD,8.61,2024-02-29,290224RC
11150,8596268483,2024-02-27,0.0,USD,5.175,2024-02-29,290224RC
11150,8596268484,2024-02-28,0.0,USD,7.875,2024-02-29,290224RC
11150,8596268485,2024-02-28,0.0,USD,13.35,2024-02-29,290224RC
11150,8596268486,2024-02-28,0.0,USD,6.075,2024-02-29,290224RC
11150,8596268487,2024-02-28,0.0,USD,15.365,2024-02-29,290224RC
11150,8596268489,2024-02-29,0.0,USD,6.95,2024-02-29,290224RC
11150,8596268490,2024-02-28,0.0,USD,19.955,2024-02-29,290224RC
11150,8596268491,2024-02-28,0.0,USD,18.33,2024-02-29,290224RC
11150,8596268492,2024-02-28,0.0,USD,7.0,2024-02-29,290224RC
11150,8596268493,2024-02-28,0.0,USD,7.585,2024-02-29,290224RC
11150,8596268494,2024-02-28,0.0,USD,12.985,2024-02-29,290224RC
11150,8596268496,2024-02-28,0.0,USD,4.7,2024-02-29,290224RC
11150,8596268497,2024-02-29,0.0,USD,5.645,2024-02-29,290224RC
