ShprNo,AWB,Delivery_Date,CODAmount,CODCurrency,O_CODAmount,Aramex_Inv_date,TOKENNO,order_number
11150.0,8596268683,2024-03-04,0.0,USD,23.58,2024-03-08,1103245TT,400282.0
11150.0,8596268684,2024-03-04,0.0,USD,13.035,2024-03-08,1103245TT,400283.0
11150.0,8596268702,2024-03-04,0.0,USD,14.31,2024-03-08,1103245TT,400301.0
11150.0,8596268706,2024-03-04,0.0,USD,4.795,2024-03-08,1103245TT,400305.0
11150.0,8596268717,2024-03-04,0.0,USD,3.475,2024-03-08,1103245TT,400316.0
11150.0,8596268718,2024-03-04,0.0,USD,5.36,2024-03-08,1103245TT,400317.0
11150.0,8596268804,2024-03-04,0.0,USD,5.715,2024-03-08,1103245TT,400403.0
11150.0,8596268805,2024-03-04,0.0,USD,14.775,2024-03-08,1103245TT,400404.0
11150.0,8596268808,2024-03-04,0.0,USD,4.575,2024-03-08,1103245TT,400407.0
11150.0,8596268814,2024-03-04,0.0,USD,5.855,2024-03-08,1103245TT,400413.0
11150.0,8596268815,2024-03-04,0.0,USD,16.17,2024-03-08,1103245TT,400414.0
11150.0,8596268816,2024-03-04,0.0,USD,9.415,2024-03-08,1103245TT,400415.0
11150.0,8596268817,2024-03-04,0.0,USD,8.275,2024-03-08,1103245TT,400416.0
11150.0,8596268909,2024-03-04,0.0,USD,24.55,2024-03-08,1103245TT,400508.0
11150.0,8596268910,2024-03-04,0.0,USD,22.97,2024-03-08,1103245TT,400509.0
11150.0,8596268911,2024-03-04,0.0,USD,5.7,2024-03-08,1103245TT,400510.0
11150.0,8596268912,2024-03-04,0.0,USD,11.525,2024-03-08,1103245TT,400511.0
11150.0,8596268914,2024-03-04,0.0,USD,13.685,2024-03-08,1103245TT,400513.0
11150.0,8596268918,2024-03-04,0.0,USD,5.165,2024-03-08,1103245TT,400517.0
11150.0,8596268921,2024-03-04,0.0,USD,3.89,2024-03-08,1103245TT,400520.0
11150.0,8596268928,2024-03-04,0.0,USD,7.58,2024-03-08,1103245TT,400527.0
11150.0,8596268931,2024-03-04,0.0,USD,13.85,2024-03-08,1103245TT,400530.0
11150.0,8596268933,2024-03-04,0.0,USD,37.395,2024-03-08,1103245TT,400532.0
11150.0,8596268957,2024-03-04,0.0,USD,19.515,2024-03-08,1103245TT,400556.0
